"section"	"date"	"url"	"snippet"
"1"	"World"	"2015-04-07T00:00:00Z"	"http://www.nytimes.com/2015/04/07/world/europe/ukraine-leader-denounces-federalization-as-way-to-break-up-country.html"	"President Petro O. Poroshenko said he was so certain Ukrainians would reject the idea of “federalization,” which Russia endorses, that he offered to put it to a referendum."
"2"	"World"	"2015-04-07T00:00:00Z"	"http://www.nytimes.com/2015/04/07/world/africa/french-commando-raid-in-mali-frees-dutch-captive.html"	"Seized more than three years ago in Timbuktu by the North African branch of Al Qaeda, the man was freed from a terrorist camp in northern Mali."
"3"	"World"	"2015-04-07T00:00:00Z"	"http://www.nytimes.com/2015/04/07/world/middleeast/yarmouk-palestinian-camp-syria-isis.html"	"After militants invaded the Yarmouk Palestinian refugee camp near Damascus, the situation there had descended into “lower levels of inhumanity.”"
"4"	"World"	"2015-04-07T00:00:00Z"	"http://www.nytimes.com/2015/04/07/world/middleeast/saudis-seek-pakistani-troops-for-yemen-campaign-official-says.html"	"Pakistan’s defense minister told Parliament that Saudi Arabia had asked for aircraft, warships and soldiers, possibly signaling Saudi plans to expand its offensive in Yemen."
"5"	"World"	"2015-04-07T00:00:00Z"	"http://www.nytimes.com/2015/04/07/world/europe/using-cash-and-charm-putin-targets-europes-weakest-links.html"	"The Russian president has mended issues with Cyprus and has courted Greece as Moscow seeks to assert influence in some of Europe’s most troubled corners."
"6"	"World"	"2015-04-07T00:00:00Z"	"http://www.nytimes.com/2015/04/07/world/africa/setbacks-press-shabab-fighters-to-kill-inexpensively.html"	"The militants from Somalia remain murderously effective despite the loss of territory, fighters and money, having learned to adapt."
"7"	"World"	"2015-04-07T00:00:00Z"	"http://www.nytimes.com/2015/04/07/world/asia/maldives-transition-to-democracy-appears-increasingly-precarious.html"	"Diplomats say President Abdulla Yameen is becoming more autocratic and unpredictable, citing the influence of gangs and the imprisonment of a former president."
"8"	"World"	"2015-04-07T00:00:00Z"	"http://www.nytimes.com/2015/04/07/world/europe/turkey-blocks-twitter-youtube-and-sites-that-published-hostage-photo.html"	"Prime Minister Ahmet Davutoglu called outlets that circulated the photograph of a prosecutor taken hostage and later killed “tools of terrorist propaganda.”"
"9"	"World"	"2015-04-07T00:00:00Z"	"http://www.nytimes.com/2015/04/07/world/middleeast/israel-iran-nuclear-deal.html"	"The Obama administration fears that reopening the issues with Iran in the last stages of the talks would invite it to do the same, rapidly unraveling the deal."
"10"	"World"	"2015-04-07T00:00:00Z"	"http://www.nytimes.com/2015/04/07/world/middleeast/israel-military-faces-delicate-balance-in-west-bank.html"	"Though the Palestinian Authority leadership was threatening to scale back its security coordination with Israel, both sides appear to have an interest in preventing an outbreak of violence."
"11"	"World"	"2015-04-07T00:00:00Z"	"http://www.nytimes.com/2015/04/07/world/africa/kenya-shabab-somalia.html"	"President Uhuru Kenyatta had vowed to respond "
"12"	"World"	"2015-04-06T22:34:50Z"	"http://www.nytimes.com/aponline/2015/04/06/world/ap-cn-canada-gm-stake.html"	"The Canadian government has unloaded its multibillion-dollar stake in General Motors."
"13"	"World"	"2015-04-06T22:22:39Z"	"http://www.nytimes.com/reuters/2015/04/06/world/middleeast/06reuters-usa-security-isis.html"	"A fourth New York City man was charged on Monday with taking part in a plot to try to provide support to Islamic State militants, prosecutors said."
"14"	"World"	"2015-04-06T20:10:48Z"	"http://www.nytimes.com/reuters/2015/04/06/world/asia/06reuters-gay-rights-india.html"	"When Rajan was followed by two men into a public toilet in Mumbai and forced to perform oral sex on them, the 31-year-old gay marketing professional realized this was the beginning of the end of his short-lived sexual freedom."
"15"	"World"	"2015-04-06T20:06:34Z"	"http://www.nytimes.com/aponline/2015/04/06/world/middleeast/ap-un-united-nations-palestinians-israel.html"	"The Palestinians are \"ready and willing\" to see if the U.N. Security Council has \"the political will\" to adopt a resolution with a deadline for ending Israel's occupation and establishing a Palestinian state, the Palestinian U.N. ambassador said..."
"16"	"World"	"2015-04-06T20:05:10Z"	"http://www.nytimes.com/aponline/2015/04/06/world/asia/ap-as-skorea-earns-samsung-electronics-.html"	"Samsung Electronics Co. said Tuesday that its first-quarter operating income likely beat analysts' consensus."
"17"	"World"	"2015-04-06T20:05:05Z"	"http://www.nytimes.com/reuters/2015/04/06/world/europe/06reuters-gay-rights-norway.html"	"John Jeanette Solstad Remo was 61 years old when she transitioned from a man and started living as a woman in Oslo. Here she recalls how she always felt she had been born in the wrong body throughout her childhood, marriage and navy career."
"18"	"World"	"2015-04-06T19:02:21Z"	"http://www.nytimes.com/aponline/2015/04/06/world/americas/ap-lt-uruguay-syrian-refugees.html"	"Uruguay's former president is complaining that Syrian refugees who have been resettled in the small South American country are not capable of working on farms."
"19"	"World"	"2015-04-06T17:39:34Z"	"http://www.nytimes.com/reuters/2015/04/06/world/06reuters-usa-poisoning-probe.html"	"Federal authorities are investigating a possible pesticide poisoning that left two Delaware boys in comas after a family vacation to the U.S. Virgin Islands last month, U.S. officials confirmed on Monday."
"20"	"World"	"2015-04-06T17:28:34Z"	"http://www.nytimes.com/aponline/2015/04/06/world/europe/ap-eu-france-obit-smalto.html"	"Francesco Smalto, an Italian-born designer who fashioned clothes for world leaders and celebrities, died at age 87, his fashion house said in a statement Monday."
"21"	"World"	"2015-04-06T16:32:33Z"	"http://www.nytimes.com/reuters/2015/04/06/world/asia/06reuters-usa-nuclear-fukushima.html"	"Radiation from Japan's 2011 Fukushima nuclear disaster has for the first time been detected along a North American shoreline, though at levels too low to pose a significant threat to human or marine life, scientists said on Monday."
"22"	"World"	"2015-04-06T15:57:05Z"	"http://www.nytimes.com/reuters/2015/04/06/world/africa/06reuters-india-politicians-sexism.html"	"Indian politicians who make bigoted comments should be punished by their parties, activists said on Thursday, after a government minister became the latest parliamentarian to be accused of racism and sexism."
"23"	"World"	"2015-04-06T15:50:04Z"	"http://www.nytimes.com/reuters/2015/04/06/world/middleeast/06reuters-mideast-crisis-syria-yarmouk.html"	"The United Nations Security Council said on Monday it would look at how to help some 18,000 Palestinian refugees and Syrian civilians in a camp largely taken over by Islamic State as a top U.N. official suggested it consider measures to evacuate..."
